id,idx,tm_1DUJ,tm_1S2H,rmsd_1DUJ,rmsd_1S2H,lddt_1DUJ,lddt_1S2H,mean_plddt
Mad2_000,000,0.715305185601696,0.6087273603396511,10.549755096435547,15.530244827270508,0.3861125062782521,0.5721801844407661,63.03
Mad2_001,001,0.4904684785561013,0.3839508811552482,11.449152946472168,14.77464771270752,0.3375679347826087,0.38541409147095174,47.2
Mad2_002,002,0.6841902049963791,0.6097747808474456,9.771574974060059,15.920150756835938,0.3779433867735471,0.5216598267213862,61.64
Mad2_003,003,0.6736966749957265,0.5886503118904637,10.95132064819336,16.577234268188477,0.34701492537313433,0.4886196769456681,64.2
Mad2_004,004,0.6806137963424713,0.6036047581755304,11.279797554016113,15.936598777770996,0.35711756373937675,0.5056681927185525,58.26
Mad2_005,005,0.7055236373557928,0.6115908358945881,11.331869125366211,16.216176986694336,0.36103818615751787,0.5001617773943055,63.04
Mad2_006,006,0.6941669878504353,0.618236116635289,11.496031761169434,16.223922729492188,0.3664978292329957,0.5427902830398931,62.1
Mad2_007,007,0.6546043722198842,0.5335893931650944,11.049792289733887,17.350658416748047,0.37578534031413613,0.5097955706984667,51.94
Mad2_008,008,0.7205306332371253,0.5693916801917228,4.710310935974121,15.199281692504883,0.398512963904423,0.5332809857453491,53.04
Mad2_009,009,0.645070960788632,0.5820794921237736,12.04997444152832,15.71183967590332,0.36962465821526225,0.5184198331788693,53.33
Mad2_010,010,0.6664700352002969,0.6092615894186535,10.650327682495117,14.408299446105957,0.37383004926108376,0.542774369461486,55.89
Mad2_011,011,0.6682244732842446,0.6129779138453869,11.25720500946045,16.15489959716797,0.36643109540636043,0.532896174863388,63.0
Mad2_012,012,0.7185994625700408,0.6144736372127897,10.962955474853516,16.312658309936523,0.3623058542413381,0.516767270288397,65.11
Mad2_013,013,0.6801457035353929,0.6099315615198743,11.047231674194336,15.430440902709961,0.3606617647058824,0.5227574750830566,61.5
Mad2_014,014,0.7384215951157781,0.5991622446697199,9.37034797668457,15.729901313781738,0.366504854368932,0.5297171895713655,63.93
Mad2_015,015,0.6703195446193624,0.5978597419613365,10.136816024780273,14.579480171203613,0.3593939393939394,0.500436871996505,60.6
Mad2_016,016,0.7085726045971371,0.624914118828321,9.386883735656738,15.784955024719238,0.37594535252500605,0.5298598754448398,61.49
Mad2_017,017,0.7129557025657314,0.5990775360271491,10.08492660522461,16.302249908447266,0.3704626334519573,0.5342976112206882,64.19
Mad2_018,018,0.7029641819853772,0.575450229737244,7.411384582519531,14.4868803024292,0.3576204895281353,0.5123368920521946,55.56
Mad2_019,019,0.7722630259353329,0.5964211701499889,5.462705612182617,14.409891128540039,0.3642317677602077,0.5081617002629273,69.7
Mad2_020,020,0.6504550931028944,0.5349726345846474,10.497869491577148,16.52828025817871,0.3713844252163164,0.4819178721418572,53.22
Mad2_021,021,0.5121867046488001,0.40129573672373814,15.52254867553711,17.911134719848633,0.3098385587271877,0.41433167289331674,65.1
Mad2_022,022,0.712783751453308,0.5622454908674194,5.424622058868408,15.125494003295898,0.3739897134459956,0.49988743809095004,62.92
Mad2_023,023,0.6964106941618499,0.6061484362456636,10.901460647583008,16.304285049438477,0.3613867233640444,0.515092712376024,60.05
Mad2_024,024,0.6911059373541518,0.6053157660593896,7.7800984382629395,15.03662109375,0.3969260795315931,0.5388739946380697,63.62
Mad2_025,025,0.5258329802595686,0.4373078036917696,11.858070373535156,17.395841598510742,0.38593155893536124,0.46850998463901694,41.08
